proveedor,producto,cantidad,precio_unitario,estado,notas
Elite Sports,Proteína Whey Gold,10,85000,confirmada,Compra mensual
NutriSport Colombia,Creatina Monohidratada,20,35000,confirmada,Stock refill
PowerUp Distribuciones,Pre-Workout Explosive,15,42000,confirmada,Prep para mes
Supplements Pro,BCAA Energy,25,28000,confirmada,Alta demanda
FitEquipment SAS,L-Carnitine,30,32000,confirmada,Reposición
MuscleLab,Vitamina D3,50,18000,confirmada,Vitaminas
SportSupply,Omega 3 Fish Oil,40,25000,confirmada,Tendencia salud
GymMax Colombia,Guantes de Gimnasio,20,25000,confirmada,Accesorios populares
TotalFit Imports,Straps de Levantamiento,30,18000,confirmida,Repuesto
VitaminWorld,Proteína Smart Proscience Vainilla 6lbs,5,95000,confirmada,Edición especial
Elite Sports,Glutamina,15,38000,confirmada,Recuperación
NutriSport Colombia,Caseína Night,10,75000,confirmada,Para nocturno
